State Name,Estimate,Percent,State Code
Alabama,1619717,83.8,01
Alaska,236265,89.4,02
Arizona,2443288,89.2,04
Arkansas,965688,82.4,05
California,12177584,91.5,06
Colorado,2091383,91.8,08
Connecticut,1269855,90.1,09
Delaware,351432,90.3,10
District of Columbia,281132,89,11
Florida,7417320,88.8,12
Georgia,3464027,87.8,13
Hawaii,434531,89.8,15
Idaho,606182,89.8,16
Illinois,4379346,88.1,17
Indiana,2301440,86.7,18
Iowa,1112880,86.3,19
Kansas,1010155,87.9,20
Kentucky,1513993,85.6,21
Louisiana,1464943,83,22
Maine,506690,87.3,23
Maryland,2099376,90.6,24
Massachusetts,2485271,90.7,25
Michigan,3520966,87.8,26
Minnesota,2024014,89.7,27
Mississippi,897278,80,28
Missouri,2128174,86.6,29
Montana,384510,86.6,30
Nebraska,686036,88.4,31
Nevada,1032647,88.7,32
New Hampshire,496116,91,33
New Jersey,3114268,90.6,34
New Mexico,664257,81.7,35
New York,6706160,88.2,36
North Carolina,3570387,87,37
North Dakota,274725,85.8,38
Ohio,4195384,87.6,39
Oklahoma,1303713,85.6,40
Oregon,1521554,90.5,41
Pennsylvania,4525824,87.1,42
Rhode Island,385385,89.2,44
South Carolina,1720307,85,45
South Dakota,304674,86.8,46
Tennessee,2326835,85.7,47
Texas,9274077,88.4,48
Utah,976939,91.9,49
Vermont,228889,86.1,50
Virginia,2917604,88.7,51
Washington,2743870,92.1,53
West Virginia,592033,82.7,54
Wisconsin,2128290,87.7,55
Wyoming,206500,88.2,56